Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"ESP32-C3 Super Mini Development Board Soldered Headers","to control spotify with",1,3.51,"https://techtonics.in/product/esp32-c3-super-mini-development-board-soldered-headers/?srsltid=AfmBOoqX0pdTbBOmzAxMd_yBONGRWbUXJoTZKRbz0hUGkNnLFKFVYhFXwsk","techtonics"
"SmartElex 1.8″ TFT Display 128×160","to show whats playing in spotifty",1,5.31,"https://robu.in/product/smartelex-1-8-tft-display-128x160/","robu"
"Certified Refurbished Outemu Mechanical Switches for Swappable Keyboards (Pack of 20)","keys / buttons to tweeks from",1,0.80,"https://www.thecosmicbyte.com/product/certified-refurbished-outemu-mechanical-switches-for-swappable-keyboards-pack-of-20/","thecosmicbyte"
